Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Botswana,BWA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-1.091192518,20.35711755,18.70615744,13.80996245,18.38375965,6.710125416,13.9233331,35.5912988,42.87890597,45.22780415,40.12966768,47.90972862,46.49613831,43.59101538,55.54099058,46.96024942,56.67823992,59.74279034,46.06036987,19.53518033,41.87274144,24.43491816,95.28803231,152.8413519,151.1053638,139.1660171,163.6965918,190.7142351,159.941189,115.705378,133.6994261,158.0138879,163.0447106
Central African Republic,CAF,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,31.71806167,6.419131529,15.85903084,21.46003776,24.79546885,35.80868471,35.87161737,38.45185651,42.54247955,62.6809314,70.86217747,74.70106986,65.0094399,61.23348018,59.15670233,70.16991819,68.47073631,26.74638137,23.41095028,26.3687854,38.07426054,40.969163,-5.160478288,2.013845186,45.68911265,56.82819383,63.1843927,69.41472624,83.44870988,90.74889868,94.08432977,122.0264317,131.843927
Canada,CAN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-1.351653543,1.545307989,1.396673094,5.307403162,8.045717887,11.2060086,14.78670881,16.64715365,18.82511914,23.28609572,21.30298793,25.78024239,30.24201357,27.07393581,31.92469589,30.20959405,34.85891263,30.44147992,23.00444543,27.49938532,30.74319945,28.78599549,30.59649429,31.78555074,31.02428218,30.73856809,34.63733381,39.3172784,37.86235006,24.11027361,27.50451614,30.61374838,30.54352877
Central Europe and the Baltics,CEB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-8.583914784,-15.68481137,-17.83403164,-19.87715504,-19.26397105,-16.82754624,-19.1855775,-24.22223821,-28.453843,-28.88423832,-27.7320954,-29.30698082,-26.26313042,-26.44620572,-26.48441494,-24.44839159,-23.78575415,-25.6539501,-31.94165965,-29.21172215,-28.98983035,-31.53316873,-33.75564872,-35.45795653,-34.52405799,-33.53688156,-30.72115496,-31.07237962,-34.67061446,-39.00251492,-33.89775686,-34.83782566,
Switzerland,CHE,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,5.166538346,5.073924056,-0.089043618,-2.17096821,-0.416652719,0.81031924,-2.063401734,1.190595744,1.779979692,-0.021424028,3.155580848,-0.472221292,2.406186188,3.615081623,5.026389493,4.060076546,-0.361307312,2.696749573,-0.347247793,3.404412011,-5.603499258,-2.679119383,-0.430042736,-8.703065198,-10.21323603,-8.970865553,-11.16415046,-14.07781832,-14.35030518,-19.91251855,-16.13564088,-23.20088374,-23.62847164
Channel Islands,CHI,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-4.300745089,-1.04222172,5.073831565,14.8045458,25.79303078,44.16467224,63.62640175,65.14337322,72.77097915,62.11816061,55.51230526,57.12260104,62.92436216,76.0933243,78.02694363,81.6906751,103.9434033,114.6967713,105.3679536,117.7027169,138.0299541,144.8721307,157.0994205,136.9094604,153.9285015,167.4250019,170.0901633,170.2936705,186.6416798,163.3497403,168.1547377,167.4644389,152.8763453
China,CHN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,5.629815567,10.58291172,19.71276486,26.20540917,39.41278472,38.35605136,42.37630618,45.88627631,42.81195162,51.88591645,59.25393983,71.9178531,98.43865653,128.6701359,159.4871274,187.9511646,212.9499737,222.3912324,245.8507626,278.3352866,313.5590456,326.5414887,347.0127448,352.181342,346.3820929,347.5476082,357.1602306,379.332031,390.8541628,397.9718175,422.7900552,418.8638989,449.217162
Cote d'Ivoire,CIV,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,3.119006763,2.688334847,8.956629992,13.87571078,24.58531005,55.84939941,89.72780189,83.86326167,145.5200027,134.4167424,135.082938,148.5548938,95.62935298,101.7327815,115.1845496,111.2513038,109.7775983,132.7781703,115.7127957,146.1155412,138.1615693,203.4924801,229.7668315,251.9094243,279.0249319,283.6849366,314.8514518,315.2922176,343.8040443,340.1130514,388.3213889,396.7295851,384.926483
Cameroon,CMR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-4.701205275,-8.405376412,0.090448245,8.256031636,8.445341915,11.18613407,11.92654761,16.51206327,12.18947856,20.4370964,19.88809659,18.15275236,20.60116531,18.51664879,15.03544309,17.23985612,41.64195116,48.63170737,62.20315096,64.57794325,56.18308407,57.89949728,71.93790623,86.46010812,93.07545066,103.9523779,107.1454113,121.135441,115.3383395,118.348373,115.2100292,127.7297491,126.2384047
